number,track,tier,title,body,labels
1,sql,1,[SQL] Add your name to CONTRIBUTORS.md,"Add your name and one fun fact to `sql/CONTRIBUTORS.md` in the table.

This is a great first-ever PR — the goal is just to practice fork → branch → PR → merge.","track:sql,tier:1,good first issue"
2,sql,1,[SQL] Fix the typo in the track README,There's a typo in `sql/README.md` (hint: 'recieve' should be 'receive'). Fix it and open a PR.,"track:sql,tier:1,good first issue"
3,sql,1,[SQL] Add a comment to exercises/sample_01,Add a one-line comment explaining what `sql/exercises/sample_01` does.,"track:sql,tier:1,good first issue"
4,sql,1,[SQL] Fix inconsistent indentation in exercises/sample_02,`sql/exercises/sample_02` has inconsistent indentation. Clean it up so it's consistent throughout.,"track:sql,tier:1,good first issue"
5,sql,1,[SQL] Add your GitHub username to PARTICIPANTS.md,Add your GitHub username as a new bullet in `sql/PARTICIPANTS.md`.,"track:sql,tier:1,good first issue"
6,sql,1,[SQL] Alphabetize the quick reference list,`sql/reference.md` has an unsorted list. Alphabetize it.,"track:sql,tier:1,good first issue"
7,sql,1,[SQL] Add a welcome message,Add a short welcome sentence or emoji to `sql/WELCOME.md`.,"track:sql,tier:1,good first issue"
8,sql,1,[SQL] Add a changelog entry,Add a one-line entry to `sql/CHANGELOG.md` describing this very PR (e.g. 'Added welcome message').,"track:sql,tier:1,good first issue"
9,sql,1,[SQL] Add an FAQ entry,"Think of a question a brand-new student in SQL might ask, and add a Q&A entry to `sql/FAQ.md`.","track:sql,tier:1,good first issue"
10,sql,1,[SQL] Add a comment to exercises/sample_03,`sql/exercises/sample_03` needs a short comment explaining its purpose. Add one.,"track:sql,tier:1,good first issue"
11,sql,1,[SQL] Add a Definition-of-Done checklist item,Add one more checklist item to `sql/CONTRIBUTING_NOTES.md` that you think matters for this track.,"track:sql,tier:1,good first issue"
12,sql,1,[SQL] Fix broken markdown link,The link to CONTRIBUTING.md in `sql/README.md` may be broken depending on your fork structure — verify it and fix it if needed.,"track:sql,tier:1,good first issue"
13,sql,1,[SQL] Clean up notes.md formatting,`sql/notes.md` has inconsistent indentation on purpose. Fix it so every line is consistently formatted.,"track:sql,tier:1,good first issue"
14,sql,1,[SQL] Add a resources bullet,Add one bullet point under a new 'Resources' section in `sql/README.md` — a link you found helpful for SQL.,"track:sql,tier:1,good first issue"
15,sql,1,[SQL] Open a PR with just a whitespace fix,Find any trailing whitespace or missing final newline in a file under `sql/` and fix it. Small PRs count too!,"track:sql,tier:1,good first issue"
16,python,1,[Python] Add your name to CONTRIBUTORS.md,"Add your name and one fun fact to `python/CONTRIBUTORS.md` in the table.

This is a great first-ever PR — the goal is just to practice fork → branch → PR → merge.","track:python,tier:1,good first issue"
17,python,1,[Python] Fix the typo in the track README,There's a typo in `python/README.md` (hint: 'recieve' should be 'receive'). Fix it and open a PR.,"track:python,tier:1,good first issue"
18,python,1,[Python] Add a comment to exercises/sample_01,Add a one-line comment explaining what `python/exercises/sample_01` does.,"track:python,tier:1,good first issue"
19,python,1,[Python] Fix inconsistent indentation in exercises/sample_02,`python/exercises/sample_02` has inconsistent indentation. Clean it up so it's consistent throughout.,"track:python,tier:1,good first issue"
20,python,1,[Python] Add your GitHub username to PARTICIPANTS.md,Add your GitHub username as a new bullet in `python/PARTICIPANTS.md`.,"track:python,tier:1,good first issue"
